motif_id,instance_idx,start,end,length,distance,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_pattern_type
8,58,167392,167452,60,3.9206435653452227,,,,
8,59,105947,106007,60,3.935718387288347,,,,
8,60,197489,197549,60,3.9363564235302415,,,,
8,61,208434,208494,60,3.946364576135891,,,,
8,62,156764,156824,60,3.9608474690220694,,,,
8,63,165873,165933,60,3.9622075269884527,,,,
8,64,112632,112692,60,3.9751884947687883,,,,
8,65,130086,130146,60,3.985324078140621,,,,
8,66,222428,222488,60,3.9895985233086106,,,,
8,67,90389,90449,60,3.996819623315704,,,,
8,68,107223,107283,60,4.021768473063719,,,,
8,69,257359,257419,60,4.039518010555459,,,,
8,70,178454,178514,60,4.043367465018909,,,,
8,71,80260,80320,60,4.064836000844728,,,,
8,72,166619,166679,60,4.069469563373518,,,,
8,73,227110,227170,60,4.075989924256607,,,,
8,74,32342,32402,60,4.081807885832954,,,,
8,75,108963,109023,60,4.084725772915802,,,,
8,76,123106,123166,60,4.105688211585189,,,,
8,77,126185,126245,60,4.113210287262171,,,,
8,78,248650,248710,60,4.131365297321638,,,,
8,79,221832,221892,60,4.1418180164820795,,,,
8,80,13391,13451,60,4.1616468602279575,,,,
8,81,7284,7344,60,4.164048683892626,,,,
8,82,13714,13774,60,4.211578174716256,,,,
8,83,87275,87335,60,4.213575133564295,,,,
8,84,93728,93788,60,4.218269693549856,,,,
8,85,24386,24446,60,4.246343475722315,,,,
8,86,264826,264886,60,4.251772858359319,,,,
8,87,218170,218230,60,4.267055132441133,,,,
8,88,7096,7156,60,4.295832992729247,,,,
8,89,684,744,60,4.306778491532879,,,,
8,90,234553,234613,60,4.31857417674171,,,,
8,91,110462,110522,60,4.320150222348916,,,,
8,92,194236,194296,60,4.333222734488549,,,,
8,93,234259,234319,60,4.340413949311861,,,,
8,94,123820,123880,60,4.348142380527821,,,,
8,95,172380,172440,60,4.369951454844275,,,,
8,96,106392,106452,60,4.377748439281106,,,,
8,97,65907,65967,60,4.382036854623923,,,,
8,98,259962,260022,60,4.384537914157713,,,,
8,99,219196,219256,60,4.385058966067284,,,,
8,100,242942,243002,60,4.390597913369546,,,,
8,101,147515,147575,60,4.392141946221712,,,,
8,102,106807,106867,60,4.394381795163118,,,,
8,103,168241,168301,60,4.406603680662943,,,,
8,104,261538,261598,60,4.406964719859114,,,,
8,105,226691,226751,60,4.41103397642082,,,,
8,106,150797,150857,60,4.424728851382482,,,,
8,107,93352,93412,60,4.427228489493816,,,,
8,108,84332,84392,60,4.436670038055652,,,,
8,109,171341,171401,60,4.4766239230410045,,,,
8,110,248951,249011,60,4.48490474519047,,,,
8,111,200862,200922,60,4.489686115745459,,,,
8,112,124820,124880,60,4.494425180104846,,,,
9,0,94393,94453,60,15.458071225506371,,,,
9,1,197025,197085,60,1.6440092697791298,,,,
9,2,137934,137994,60,1.8953028545162132,,,,
9,3,90778,90838,60,2.443332739560787,,,,
