motif_id,pattern_type,instance_idx,start,end,length,distance,meta_pattern_type,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_psi200_cv
19,mv,6,90419,90479,60,3.411640350267058,mv,,,,
19,mv,7,29473,29533,60,3.469554544934389,mv,,,,
19,mv,8,92161,92221,60,3.483751063297492,mv,,,,
19,mv,9,133775,133835,60,3.539192147856031,mv,,,,
19,mv,10,165377,165437,60,3.602758249903702,mv,,,,
19,mv,11,116569,116629,60,3.652549012926182,mv,,,,
19,mv,12,280469,280529,60,3.6634347191138565,mv,,,,
19,mv,13,24661,24721,60,3.6958596851756056,mv,,,,
19,mv,14,137247,137307,60,3.726206499208909,mv,,,,
19,mv,15,213561,213621,60,3.7290014620607166,mv,,,,
19,mv,16,233141,233201,60,3.7408983813081234,mv,,,,
19,mv,17,159616,159676,60,3.75657667073705,mv,,,,
19,mv,18,333012,333072,60,3.804599738669474,mv,,,,
19,mv,19,4210,4270,60,3.8374481396691205,mv,,,,
20,mv,0,282299,282359,60,6.976863069579721e-06,mv,,,,
20,mv,1,295578,295638,60,4.217832204696853,mv,,,,
21,density,0,145971,146031,60,9.424321830774485e-08,density,0.00796125479691045,0.07701193059355926,0.2332208032300732,
21,density,1,12231,12291,60,2.0498542917838725,density,0.006270797862600669,0.008192782581182511,0.010127480878911159,
21,density,2,269101,269161,60,2.5865083455992224,density,0.011851096168356619,0.03134178180617895,0.04100451340742979,
21,density,3,285908,285968,60,3.2500203977142754,density,0.008590030432290802,0.018944089276188777,0.024916986765663382,
21,density,4,285576,285636,60,3.453261119214263,density,0.010333406881645002,0.013324023788447688,0.015301921566449952,
21,density,5,97453,97513,60,3.687492825046904,density,0.00436510622216891,0.0334111257153709,0.10390072244848299,
21,density,6,275887,275947,60,4.101490519340329,density,0.01351422593659457,0.01745209583651436,0.025781204315606376,
21,density,7,305788,305848,60,4.1804644869900685,density,0.008334483472193453,0.01008363826641612,0.0138026748595,
21,density,8,57374,57434,60,4.2607097605612925,density,0.002038492624668668,0.00537181649307353,0.003729903128922276,
21,density,9,159615,159675,60,4.400338536087252,density,0.0072648916834847825,0.022647850086430794,0.02035159086964103,
21,density,10,338084,338144,60,4.405420630080868,density,0.0029886806698406656,0.00806587656211796,0.012086333436037452,
21,density,11,325073,325133,60,4.412586097564464,density,0.007459442499884058,0.029140885550606285,0.032505295363630074,
21,density,12,83237,83297,60,4.450355793964551,density,0.003365309687524652,0.057631550281254516,0.004685191035409981,
21,density,13,57209,57269,60,4.465231534160478,density,0.0009547476838095379,0.0011815454850248217,0.0016957493653154832,
22,density,0,268091,268151,60,6.664001874625056e-08,density,0.014837887970487084,0.019843921076829057,0.04747326247891373,
22,density,1,4280,4340,60,3.1332183760827106,density,0.004367872997494482,0.006577529819540233,0.013335482897469074,
22,density,2,323649,323709,60,3.139453005910614,density,0.003621845463154687,0.008502381026091561,0.01008965350844888,
22,density,3,180048,180108,60,3.4994375997507357,density,0.0008330008943591863,0.006226932690579505,0.001006276694602874,
22,density,4,295785,295845,60,3.6438755255597006,density,0.005796655562394669,0.018313458895326516,0.009200720751345525,
22,density,5,291654,291714,60,3.778627635801303,density,0.009235516076232424,0.014589638177539933,0.011557399871299898,
